,soil,theta,theta_rel,f,k_mean,k_lo,cs_lo,cf_cs,cs_plant,i_k,i_cs
118,loam,0.06608333333333334,0.3712546816479401,0.3198360000000001,150,14.36739772292645,0.014234893393084369,31038.440522898065,44.18288919310439,2.0998572936800727e-14,1.5878195267353185e-10
119,loam,0.07266666666666667,0.4082397003745319,0.3198360000000001,150,17.821140012955865,0.022055094122260588,21800.467607240353,48.08113649869791,2.576242900205463e-14,1.983084465134846e-10
120,loam,0.07925,0.4452247191011236,0.3198360000000001,150,21.5297953634622,0.03239433319875207,15988.75179825097,51.794495318468826,3.076358709580894e-14,2.4106545489059124e-10
121,loam,0.08583333333333333,0.48220973782771537,0.3198360000000001,150,25.453173906065526,0.04551912375649447,12150.193951329891,55.30661821359959,3.592984931734113e-14,2.864784678465631e-10
122,loam,0.09241666666666667,0.5191947565543071,0.3198360000000001,150,29.54896730855153,0.06159699518628603,9512.849273523849,58.59629309091131,4.11915068191552e-14,3.338785867380333e-10
123,loam,0.099,0.5561797752808989,0.3198360000000001,150,33.77386193626819,0.08067588770108707,7640.602621339844,61.64123990478447,4.6483304538423436e-14,3.82528558506953e-10
124,loam,0.10558333333333333,0.5931647940074907,0.3198360000000001,150,38.08475150569522,0.10267432689808986,6274.341501854283,64.42137904316388,5.1746084958440206e-14,4.3165855581783653e-10
125,loam,0.11216666666666668,0.6301498127340824,0.3198360000000001,150,42.43995102645193,0.12738436462234123,5253.505684477386,66.92144836570098,5.692801182662168e-14,4.80507358457915e-10
126,loam,0.11875000000000001,0.6671348314606742,0.3198360000000001,150,46.8003118580305,0.15448705626262232,4474.989852529994,69.13280091224652,6.19853195499083e-14,5.283634253285508e-10
127,loam,0.12533333333333332,0.7041198501872659,0.3198360000000001,150,51.13015202317801,0.1835780076721899,3870.5223735853533,71.05427859934346,6.688258492249283e-14,5.746003767066798e-10
128,loam,0.13191666666666665,0.7411048689138576,0.3198360000000001,150,55.397942745191905,0.21419891428141113,3393.676453513838,72.6921811765054,7.159256507180194e-14,6.187026759048938e-10
